Reference	Date_BW	Units_sold	Net_Incomes	Date_ADS	Cost	Impresions
8141600	55	416	8533.679999999995	126	379.7799999999999	174498
82462	38	363	11208.609999999999	56	121.41000000000003	57854
82466	41	180	6270.320000000001	126	158.68000000000004	96652
8146000	98	179	4401.900000000003	39	263.21	106009
122539	99	148	5667.469999999995	110	965.58	282555
123838	87	143	2636.6299999999997	132	1803.8899999999992	398687
61096	104	142	5365.259999999988	180	481.67999999999995	128744
89051	115	142	6736.889999999992	149	183.94999999999996	67112
61731	91	126	10227.650000000009	63	855.5900000000001	262189
48905	74	115	4773.700000000004	86	549.5000000000001	96030
89062	93	113	7555.34	149	233.42999999999992	64473
101318	31	110	6120.009999999999	111	1177.8099999999997	434858
122540	90	108	4117.85	182	574.2700000000002	294659
29300	57	107	1422.5099999999995	179	198.00000000000006	130955
123482	67	101	3029.3599999999997	180	864.2299999999997	187695
61098	79	98	3771.0299999999975	135	425.5099999999999	77767
51136	77	96	14050.750000000002	182	379.14	131363
64530	78	95	14047.739999999998	181	543.0399999999997	291404
48329	84	94	3225.060000000003	115	811.3699999999999	299104
61514	40	93	2434.7700000000004	101	21.650000000000006	14782
90953	76	90	13498.24000000001	80	54.33	22900
89022	68	87	3375.2699999999973	146	90.06999999999996	43034
93267	55	87	1860.13	99	72.64000000000001	58315
122334	45	86	4505.099999999999	184	563.6200000000002	304830
64531	77	86	10598.479999999998	185	1365.16	562220
51148	76	82	12206.619999999992	182	301.49000000000035	171433
48624	41	80	3896.17	113	631.5000000000002	149438
90954	67	79	9384.74	79	125.33999999999999	40175
38697	41	76	1309.0300000000004	88	109.00999999999998	51410
122432	56	75	1155.9599999999998	167	616.23	256823
64532	45	73	6904.060000000001	81	66.58	33761
51140	46	73	7127.270000000006	181	465.76000000000016	237417
61118	63	72	4958.149999999999	139	393.5299999999998	163046
93308	50	71	3846.4500000000007	183	398.0499999999999	186284
61397	39	70	837.8899999999995	80	120.52	60756
122335	39	69	4536.05	186	201.82	87560
49809	52	66	2997.8499999999995	41	88.97	23907
103076	56	64	12150.789999999994	80	144.50000000000006	72648
30655	60	64	3007.1599999999976	168	273.5999999999999	108706
123760	41	63	5337.9900000000025	182	829.7399999999998	307455
48841	55	63	917.4799999999998	73	97.31	33935
122532	52	62	2373.93	61	211.74	81334
61776	35	62	1431.91	156	65.46999999999998	43420
64534	55	61	11419.530000000008	182	2701.529999999999	1165107
51149	56	61	7474.250000000004	185	648.7900000000001	238518
89040	36	60	1076.0299999999997	100	234.75	61725
101981	40	59	3153.8500000000004	41	39.909999999999975	21134
122331	37	59	3013.76	180	199.47999999999996	78406
123839	46	58	1056.0199999999995	132	174.08999999999992	63092
49918	44	57	2383.009999999999	112	255.73000000000002	76841
