,index,Journeys_count,total_conversions,Cumpercentage
0,0,1,3399,31.23219700450244
1,1,2,2048,50.05053753560599
2,2,3,1356,62.51033722319214
3,3,4,930,71.05577506202334
4,4,5,642,76.95488376366811
5,5,6,504,81.58595975374438
6,6,7,364,84.93062574657722
7,7,8,271,87.42074795552696
8,8,9,246,89.68115409354039
9,9,10,198,91.50050537535606
10,10,11,143,92.81448130111183
11,11,12,127,93.98143894146834
12,12,13,87,94.78085086832675
13,13,14,72,95.44243315262337
14,14,15,58,95.97537443719563
15,15,16,49,96.42561793623082
16,16,17,46,96.84829550675366
17,17,18,39,97.20665257741432
18,18,19,34,97.51906643388772
19,19,20,30,97.7947257190113
20,20,21,22,97.99687586143526
21,21,22,17,98.15308278967197
22,22,23,24,98.37361021777083
23,23,24,13,98.49306257465771
24,24,25,16,98.64008086005697
25,25,26,15,98.77791050261877
26,26,27,16,98.92492878801801
27,27,28,6,98.98006064504273
28,28,29,6,99.03519250206745
29,29,30,13,99.15464485895433
30,30,31,12,99.26490857300377
31,31,32,6,99.32004043002848
32,32,33,10,99.411926858403
33,33,34,6,99.46705871542774
34,34,35,8,99.54056785812736
35,35,36,2,99.55894514380226
36,36,37,4,99.59569971515208
37,37,38,2,99.61407700082697
38,38,39,5,99.66002021501424
39,39,41,5,99.7059634292015
40,40,42,3,99.73352935771386
41,41,43,1,99.74271800055132
42,42,44,4,99.77947257190112
43,43,46,1,99.78866121473858
44,44,48,1,99.79784985757604
45,45,50,2,99.81622714325094
46,46,51,3,99.8437930717633
47,47,53,1,99.85298171460076
48,48,54,2,99.87135900027566
49,49,57,1,99.88054764311312
50,50,58,1,99.88973628595058
51,51,59,1,99.89892492878802
52,52,70,1,99.90811357162546
53,53,71,1,99.91730221446292
54,54,72,1,99.92649085730038
55,55,75,1,99.93567950013784
56,56,87,1,99.94486814297528
57,57,92,1,99.95405678581274
58,58,108,1,99.9632454286502
59,59,115,1,99.97243407148764
60,60,116,1,99.98162271432508
61,61,171,1,99.99081135716254
62,62,236,1,100.0
